HE InChI=1S/He
C5H84OH1Q2 InChI=1S/C5H10O3/c1-2-3-5(4-6)8-7/h2,5-7H,1,3-4H2
C5H82OH2Q1 InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h3,6-7H,2,4H2,1H3
C5H83OH2Q1 InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h2-3,5-7H,4H2,1H3
C5H84OH2Q1 InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h2,5-7H,1,3-4H2
C5H8OH1KET2-3 InChI=1S/C5H10O4/c1-2-5(9-8)4(7)3-6/h5-6,8H,2-3H2,1H3
C5H8OH1KET2-4 InChI=1S/C5H10O4/c1-4(9-8)2-5(7)3-6/h4,6,8H,2-3H2,1H3
C5H8OH1KET2-5 InChI=1S/C5H10O4/c6-4-5(7)2-1-3-9-8/h6,8H,1-4H2
C5H8OH2KET1-3 InChI=1S/C5H10O4/c1-2-5(9-8)4(7)3-6/h3-5,7-8H,2H2,1H3
C5H8OH2KET1-4 InChI=1S/C5H10O4/c1-4(9-8)2-5(7)3-6/h3-5,7-8H,2H2,1H3
C5H8OH2KET1-5 InChI=1S/C5H10O4/c6-4-5(7)2-1-3-9-8/h4-5,7-8H,1-3H2
C5H8OH2KET3-1 InChI=1S/C5H10O4/c1-2-4(6)5(7)3-9-8/h5,7-8H,2-3H2,1H3
C5H8OH2KET3-4 InChI=1S/C5H10O4/c1-3(6)5(7)4(2)9-8/h3-4,6,8H,1-2H3
C5H8OH2KET3-5 InChI=1S/C5H10O4/c1-4(6)5(7)2-3-9-8/h4,6,8H,2-3H2,1H3
C5H8OH3KET2-1 InChI=1S/C5H10O4/c1-2-4(6)5(7)3-9-8/h4,6,8H,2-3H2,1H3
C5H8OH3KET2-4 InChI=1S/C5H10O4/c1-3(6)5(7)4(2)9-8/h4-5,7-8H,1-2H3
C5H8OH3KET2-5 InChI=1S/C5H10O4/c1-4(6)5(7)2-3-9-8/h5,7-8H,2-3H2,1H3
HOCH2COCH2 InChI=1S/C3H5O2/c1-3(5)2-4/h4H,1-2H2
HOCH2COCH2O2 InChI=1S/C3H5O4/c4-1-3(5)2-7-6/h4H,1-2H2
HOCH2COCH2O InChI=1S/C3H5O3/c4-1-3(6)2-5/h4H,1-2H2
IC5D2Y4-1J InChI=1S/C5H7O/c1-5(2)3-4-6/h3-4H,1H2,2H3
IC5D2Y4-4J InChI=1S/C5H7O/c1-5(2)3-4-6/h3H,1-2H3
DC5H9O-B InChI=1S/C5H9O/c1-5(2)3-4-6/h4H,3H2,1-2H3
DC5H9O-C InChI=1S/C5H9O/c1-5(2)3-4-6/h3-5H,1-2H3
IC5Y4OH2-3J InChI=1S/C5H9O2/c1-5(2,7)3-4-6/h3-4,7H,1-2H3
IC5Y4OH3-2J InChI=1S/C5H9O2/c1-4(2)5(7)3-6/h3,5,7H,1-2H3
IC5Y4OH2-3O2 InChI=1S/C5H9O4/c1-5(2,7)4(3-6)9-8/h3-4,7H,1-2H3
IC5Y4OH3-2O2 InChI=1S/C5H9O4/c1-5(2,9-8)4(7)3-6/h3-4,7H,1-2H3
IC5Y4OOH2-3J InChI=1S/C5H9O3/c1-5(2,8-7)3-4-6/h3-4,7H,1-2H3
IC5Y4OOH3-2J InChI=1S/C5H9O3/c1-4(2)5(3-6)8-7/h3,5,7H,1-2H3
IC5CHO1-3O InChI=1S/C5H8O2/c1-5(2)4(3-6)7-5/h3-4H,1-2H3
IC5D1Y4-3OJ InChI=1S/C5H7O2/c1-4(2)5(7)3-6/h3,5H,1H2,2H3
IC5D2Y4-1OJ InChI=1S/C5H7O2/c1-5(4-7)2-3-6/h2-3H,4H2,1H3
IC5D1Y4-3OOH InChI=1S/C5H8O3/c1-4(2)5(3-6)8-7/h3,5,7H,1H2,2H3
IC5D2Y4-1OOH InChI=1S/C5H8O3/c1-5(2-3-6)4-8-7/h2-3,7H,4H2,1H3
IC5D2Y14 InChI=1S/C5H6O2/c1-5(4-7)2-3-6/h2-4H,1H3
CYC5H8 InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2
CPTO2J InChI=1S/C5H9O2/c6-7-5-3-1-2-4-5/h5H,1-4H2
CPT1Q2J InChI=1S/C5H9O2/c6-7-5-3-1-2-4-5/h3,5-6H,1-2,4H2
CPT1Q3J InChI=1S/C5H9O2/c6-7-5-3-1-2-4-5/h1,5-6H,2-4H2
CPTYO12 InChI=1S/C5H8O/c1-2-4-5(3-1)6-4/h4-5H,1-3H2
CPTYO13 InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2
CPTQ2QJ InChI=1S/C5H9O4/c6-8-4-2-1-3-5(4)9-7/h4-6H,1-3H2
CPTQ3QJ InChI=1S/C5H9O4/c6-8-4-1-2-5(3-4)9-7/h4-6H,1-3H2
CYC5E1-3O2H InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h1,3,5-6H,2,4H2
CYC5E1-4O2H InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h1-2,5-6H,3-4H2
CPN-2OOH InChI=1S/C5H8O3/c6-4-2-1-3-5(4)8-7/h5,7H,1-3H2
CPN-3OOH InChI=1S/C5H8O3/c6-4-1-2-5(3-4)8-7/h5,7H,1-3H2
CPT2Q4Q1J InChI=1S/C5H9O4/c6-8-4-1-2-5(3-4)9-7/h1,4-7H,2-3H2
CPN-2R InChI=1S/C5H7O/c6-5-3-1-2-4-5/h3H,1-2,4H2
CPTYO123J InChI=1S/C5H7O/c1-2-4-5(3-1)6-4/h2,4-5H,1,3H2
CYC5O1EN5J InChI=1S/C5H7O/c1-2-4-6-5-3-1/h2,4-5H,1,3H2
CYC51EN3OJ InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2
C4H6CHO4-5 InChI=1S/C5H7O/c1-2-3-4-5-6/h1-2,5H,3-4H2
C2H3OC3H4A InChI=1S/C5H7O/c1-3-5-6-4-2/h3-5H,1-2H2
CPN-3R InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2
CYC5E1-4O InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-2,5H,3-4H2
CPTO2H InChI=1S/C5H10O2/c6-7-5-3-1-2-4-5/h5-6H,1-4H2
PT1N1Q5J InChI=1S/C5H9O2/c1-2-3-4-5-7-6/h4-6H,1-3H2
CPTOJ InChI=1S/C5H9O/c6-5-3-1-2-4-5/h5H,1-4H2
CPND2 InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2
C4H6CHO2-5 InChI=1S/C5H7O/c1-2-3-4-5-6/h3-5H,1-2H2
CYC5E1-4O2 InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1-2,5H,3-4H2
C53OH1EN5J InChI=1S/C5H9O/c1-3-5(6)4-2/h3,5-6H,1-2,4H2
C4H7CO1-4 InChI=1S/C5H7O/c1-2-3-4-5-6/h2H,1,3-4H2
C4H6CHO2-5O2 InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-2,4H,3,5H2
C4H6CHO2-5OOH4J InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-4,7H,5H2
CPN InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2
PC2H4COC2H3 InChI=1S/C5H7O/c1-3-5(6)4-2/h3H,1-2,4H2
PC3H6CHCO InChI=1S/C5H7O/c1-2-3-4-5-6/h4H,1-3H2
C5Y2D4-1R InChI=1S/C5H7O/c1-3-4-5(2)6/h3H,1-2,4H2
C5H5O InChI=1S/C5H5O/c6-5-3-1-2-4-5/h1-3H,4H2
C5H5O InChI=1S/C5H5O/c6-5-3-1-2-4-5/h1,3-4H,2H2
CPND3 InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1-2H,3-4H2
CPNOH3-2R InChI=1S/C5H7O2/c6-4-1-2-5(7)3-4/h3-4,6H,1-2H2
CPNOH2-3R InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h2,4,6H,1,3H2
CPNOH3-4R InChI=1S/C5H7O2/c6-4-1-2-5(7)3-4/h1,4,6H,2-3H2
CPNOH3-2O2R InChI=1S/C5H7O4/c6-3-1-2-4(7)5(3)9-8/h3,5-6H,1-2H2
CPNOH2-3O2R InChI=1S/C5H7O4/c6-3-1-2-4(9-8)5(3)7/h4-5,7H,1-2H2
CPNOH3-4O2R InChI=1S/C5H7O4/c6-3-1-4(7)5(2-3)9-8/h4-5,7H,1-2H2
C5Y125 InChI=1S/C5H6O3/c6-3-1-2-5(8)4-7/h3-4H,1-2H2
C5Y135 InChI=1S/C5H6O3/c6-3-1-5(8)2-4-7/h3-4H,1-2H2
C5Y125-1R InChI=1S/C5H5O3/c6-3-1-2-5(8)4-7/h3H,1-2H2
C5Y125-5R InChI=1S/C5H5O3/c6-3-1-2-5(8)4-7/h4H,1-2H2
C5Y135-1R InChI=1S/C5H5O3/c6-3-1-5(8)2-4-7/h3H,1-2H2
C2H3CHCO InChI=1S/C4H4O/c1-2-3-4-5/h2-3H,1H2
CPN-2O2R InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h5H,1-3H2
CPN-3O2R InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h5H,1-3H2
CPN-2OR InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h4H,1-3H2
CPN-3OR InChI=1S/C5H7O2/c6-4-1-2-5(7)3-4/h4H,1-3H2
CPNOOH2-3R InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h3,5,7H,1-2H2
CPNOOH2-4R InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h1,5,7H,2-3H2
CPNOOH2-5R InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h2,5,7H,1,3H2
CPNOOH3-2R InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3,5,7H,1-2H2
CPNOOH3-4R InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h2,5,7H,1,3H2
CPNOOH3-5R InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,5,7H,2-3H2
CPNO2-3 InChI=1S/C5H6O2/c6-3-1-2-4-5(3)7-4/h4-5H,1-2H2
CPNO2-4 InChI=1S/C5H6O2/c6-4-1-3-2-5(4)7-3/h3,5H,1-2H2
CPNO2-5 InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h3-4H,1-2H2
CPNO3-4 InChI=1S/C5H6O2/c6-3-1-4-5(2-3)7-4/h4-5H,1-2H2
CPNOOH2-3O2R InChI=1S/C5H7O5/c6-3-1-2-4(9-7)5(3)10-8/h4-5,8H,1-2H2
CPNOOH2-4O2R InChI=1S/C5H7O5/c6-4-1-3(9-7)2-5(4)10-8/h3,5,8H,1-2H2
CPNOOH2-5O2R InChI=1S/C5H7O5/c6-5-3(9-7)1-2-4(5)10-8/h3-4,7H,1-2H2
CPNOOH3-2O2R InChI=1S/C5H7O5/c6-3-1-2-4(9-7)5(3)10-8/h4-5,7H,1-2H2
CPNOOH3-4O2R InChI=1S/C5H7O5/c6-3-1-4(9-7)5(2-3)10-8/h4-5,7H,1-2H2
CPNOOH3-5O2R InChI=1S/C5H7O5/c6-4-1-3(9-7)2-5(4)10-8/h3,5,7H,1-2H2
CPNKET2-3 InChI=1S/C5H6O4/c6-3-1-2-4(9-8)5(3)7/h4,8H,1-2H2
CPNKET2-4 InChI=1S/C5H6O4/c6-4-1-3(9-8)2-5(4)7/h3,8H,1-2H2
CPNKET3-2 InChI=1S/C5H6O4/c6-3-1-2-4(7)5(3)9-8/h5,8H,1-2H2
CPNKET3-4 InChI=1S/C5H6O4/c6-3-1-4(7)5(2-3)9-8/h5,8H,1-2H2
CPNKET2-3OR InChI=1S/C5H5O3/c6-3-1-2-4(7)5(3)8/h3H,1-2H2
CPNKET2-4OR InChI=1S/C5H5O3/c6-3-1-4(7)5(8)2-3/h3H,1-2H2
CPNKET3-2OR InChI=1S/C5H5O3/c6-3-1-2-4(7)5(3)8/h5H,1-2H2
CPNKET3-4OR InChI=1S/C5H5O3/c6-3-1-4(7)5(8)2-3/h4H,1-2H2
CPND3-2OOH InChI=1S/C5H6O3/c6-4-2-1-3-5(4)8-7/h1,3,5,7H,2H2
CPND2-5OOH InChI=1S/C5H6O3/c6-4-2-1-3-5(4)8-7/h1-2,5,7H,3H2
CJVCC(C)VO InChI=1S/C4H5O/c1-3-4(2)5/h1,3H,2H3
CPND2-4OOH InChI=1S/C5H6O3/c6-4-1-2-5(3-4)8-7/h1-2,5,7H,3H2
AC3H5CHCO InChI=1S/C5H6O/c1-2-3-4-5-6/h2,4H,1,3H2
C5Y3D14 InChI=1S/C5H6O/c1-3-5(6)4-2/h3-4H,1-2H2
CPND2-4O2R InChI=1S/C5H5O3/c6-4-1-2-5(3-4)8-7/h1-2,5H,3H2
CPND2-5O2R InChI=1S/C5H5O3/c6-4-2-1-3-5(4)8-7/h1-2,5H,3H2
CPND2OOH4-5R InChI=1S/C5H5O3/c6-4-1-2-5(3-4)8-7/h1-3,5,7H
CPND2OOH5-4R InChI=1S/C5H5O3/c6-4-2-1-3-5(4)8-7/h1-3,5,7H
C5H4O InChI=1S/C5H4O/c6-5-3-1-2-4-5/h1-4H
C5H3O-2 InChI=1S/C5H3O/c6-5-3-1-2-4-5/h1-3H
C5H3O-3 InChI=1S/C5H3O/c6-5-3-1-2-4-5/h1,3-4H
C5H3O-2O InChI=1S/C5H3O2/c6-4-2-1-3-5(4)7/h1-3H
C5H3O-3O InChI=1S/C5H3O2/c6-4-1-2-5(7)3-4/h1-3H
C6KET12 InChI=1S/C6H12O3/c1-2-3-4-6(5-7)9-8/h5-6,8H,2-4H2,1H3
C6KET12O InChI=1S/C6H11O2/c1-2-3-4-6(8)5-7/h5-6H,2-4H2,1H3
C6KET13 InChI=1S/C6H12O3/c1-2-3-6(9-8)4-5-7/h5-6,8H,2-4H2,1H3
C6KET13O InChI=1S/C6H11O2/c1-2-3-6(8)4-5-7/h5-6H,2-4H2,1H3
C6KET14 InChI=1S/C6H12O3/c1-2-6(9-8)4-3-5-7/h5-6,8H,2-4H2,1H3
C6KET14O InChI=1S/C6H11O2/c1-2-6(8)4-3-5-7/h5-6H,2-4H2,1H3
C6KET15 InChI=1S/C6H12O3/c1-6(9-8)4-2-3-5-7/h5-6,8H,2-4H2,1H3
C6KET15O InChI=1S/C6H11O2/c1-6(8)4-2-3-5-7/h5-6H,2-4H2,1H3
C6KET21O InChI=1S/C6H11O2/c1-2-3-4-6(8)5-7/h2-5H2,1H3
C6KET23 InChI=1S/C6H12O3/c1-3-4-6(9-8)5(2)7/h6,8H,3-4H2,1-2H3
C6KET23O InChI=1S/C6H11O2/c1-3-4-6(8)5(2)7/h6H,3-4H2,1-2H3
C6KET24 InChI=1S/C6H12O3/c1-3-6(9-8)4-5(2)7/h6,8H,3-4H2,1-2H3
C6KET24O InChI=1S/C6H11O2/c1-3-6(8)4-5(2)7/h6H,3-4H2,1-2H3
C6KET25 InChI=1S/C6H12O3/c1-5(7)3-4-6(2)9-8/h6,8H,3-4H2,1-2H3
C6KET25O InChI=1S/C6H11O2/c1-5(7)3-4-6(2)8/h5H,3-4H2,1-2H3
C6KET26 InChI=1S/C6H12O3/c1-6(7)4-2-3-5-9-8/h8H,2-5H2,1H3
C6KET26O InChI=1S/C6H11O2/c1-6(8)4-2-3-5-7/h2-5H2,1H3
C6KET31 InChI=1S/C6H12O3/c1-2-3-6(7)4-5-9-8/h8H,2-5H2,1H3
C6KET31O InChI=1S/C6H11O2/c1-2-3-6(8)4-5-7/h2-5H2,1H3
C6KET32 InChI=1S/C6H12O3/c1-3-4-6(7)5(2)9-8/h5,8H,3-4H2,1-2H3
C6KET32O InChI=1S/C6H11O2/c1-3-4-6(8)5(2)7/h5H,3-4H2,1-2H3
C6KET34 InChI=1S/C6H12O3/c1-3-5(7)6(4-2)9-8/h6,8H,3-4H2,1-2H3
C6KET34O InChI=1S/C6H11O2/c1-3-5(7)6(8)4-2/h5H,3-4H2,1-2H3
C6KET35 InChI=1S/C6H12O3/c1-3-6(7)4-5(2)9-8/h5,8H,3-4H2,1-2H3
C6KET35O InChI=1S/C6H11O2/c1-3-6(8)4-5(2)7/h5H,3-4H2,1-2H3
C6KET36 InChI=1S/C6H12O3/c1-2-6(7)4-3-5-9-8/h8H,2-5H2,1H3
C6KET36O InChI=1S/C6H11O2/c1-2-6(8)4-3-5-7/h2-5H2,1H3
C6H11Q12-3 InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h4,6-8H,2-3,5H2,1H3
C6H11-2D1OOH InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h4-5,7H,2-3,6H2,1H3
C6H11Q13-2 InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h4,6-8H,2-3,5H2,1H3
C6H11-1D3OOH InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h4,6-7H,2-3,5H2,1H3
C6H11Q13-4 InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h3,6-8H,2,4-5H2,1H3
C6H11-3D1OOH InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h3-4,7H,2,5-6H2,1H3
C6H11Q14-2 InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h3,6-8H,2,4-5H2,1H3
C6H11-1D4OOH InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,6-7H,1,4-5H2,2H3
C6H11Q14-3 InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h4,6-8H,2-3,5H2,1H3
C6H11Q14-5 InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h2,6-8H,3-5H2,1H3
C6H11-2D6OOH InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h2-3,7H,4-6H2,1H3
C6H11Q15-2 InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h3,6-8H,2,4-5H2,1H3
C6H11-1D5OOH InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h3,6-7H,1,4-5H2,2H3
C6H11Q15-4 InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h4,6-8H,2-3,5H2,1H3
C6H11Q15-6 InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6-8H,1-5H2
C6H11-1D6OOH InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h2,7H,1,3-6H2
C6H11Q23-1 InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,2-4H2,1H3
C6H11Q23-4 InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h4-8H,3H2,1-2H3
C6H11-3D2OOH InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h4-7H,3H2,1-2H3
C6H11Q24-1 InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,2-4H2,1H3
C6H11Q24-3 InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h4-8H,3H2,1-2H3
C6H11-2D4OOH InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,5-7H,4H2,1-2H3
C6H11Q24-5 InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h3,5-8H,4H2,1-2H3
C6H11-2D5OOH InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h3-4,6-7H,5H2,1-2H3
C6H11Q25-1 InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-8H,1,3-4H2,2H3
C6H11Q25-3 InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h3,5-8H,4H2,1-2H3
C6H11Q34-2 InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h3,5-8H,4H2,1-2H3
C6H11O13-2OOH InChI=1S/C6H12O3/c1-2-3-5-6(9-7)4-8-5/h5-7H,2-4H2,1H3
C6H11O23-1OOH InChI=1S/C6H12O3/c1-2-3-5-6(9-5)4-8-7/h5-7H,2-4H2,1H3
C6H11Q12-4 InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h3,6-8H,2,4-5H2,1H3
C6H11O14-2OOH InChI=1S/C6H12O3/c1-2-5-3-6(9-7)4-8-5/h5-7H,2-4H2,1H3
C6H11O24-1OOH InChI=1S/C6H12O3/c1-2-5-3-6(9-5)4-8-7/h5-7H,2-4H2,1H3
C6H11Q12-5 InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h2,6-8H,3-5H2,1H3
C6H11O15-2OOH InChI=1S/C6H12O3/c1-5-2-3-6(9-7)4-8-5/h5-7H,2-4H2,1H3
C6H11O25-1OOH InChI=1S/C6H12O3/c1-5-2-3-6(9-5)4-8-7/h5-7H,2-4H2,1H3
C6H11Q12-6 InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6-8H,1-5H2
C6H11O15-6OOH InChI=1S/C6H12O3/c7-9-5-6-3-1-2-4-8-6/h6-7H,1-5H2
C6H11O12-3OOH InChI=1S/C6H12O3/c1-2-3-5(9-7)6-4-8-6/h5-7H,2-4H2,1H3
C6H11O14-3OOH InChI=1S/C6H12O3/c1-2-5-6(9-7)3-4-8-5/h5-7H,2-4H2,1H3
C6H11O34-1OOH InChI=1S/C6H12O3/c1-2-5-6(9-5)3-4-8-7/h5-7H,2-4H2,1H3
C6H11Q13-5 InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h2,6-8H,3-5H2,1H3
C6H11O15-3OOH InChI=1S/C6H12O3/c1-5-4-6(9-7)2-3-8-5/h5-7H,2-4H2,1H3
C6H11O24-6OOH InChI=1S/C6H12O3/c1-5-4-6(9-5)2-3-8-7/h5-7H,2-4H2,1H3
C6H11Q13-6 InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6-8H,1-5H2
C6H11O14-6OOH InChI=1S/C6H12O3/c7-9-5-3-6-2-1-4-8-6/h6-7H,1-5H2
C6H11O12-4OOH InChI=1S/C6H12O3/c1-2-5(9-7)3-6-4-8-6/h5-7H,2-4H2,1H3
C6H11O13-4OOH InChI=1S/C6H12O3/c1-2-5(9-7)6-3-4-8-6/h5-7H,2-4H2,1H3
C6H11O15-4OOH InChI=1S/C6H12O3/c1-5-6(9-7)3-2-4-8-5/h5-7H,2-4H2,1H3
C6H11O23-6OOH InChI=1S/C6H12O3/c1-5-6(9-5)3-2-4-8-7/h5-7H,2-4H2,1H3
C6H11Q14-6 InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6-8H,1-5H2
C6H11O13-6OOH InChI=1S/C6H12O3/c7-9-4-1-2-6-3-5-8-6/h6-7H,1-5H2
C6H11O12-5OOH InChI=1S/C6H12O3/c1-5(9-7)2-3-6-4-8-6/h5-7H,2-4H2,1H3
C6H11Q15-3 InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h2,6-8H,3-5H2,1H3
C6H11O13-5OOH InChI=1S/C6H12O3/c1-5(9-7)4-6-2-3-8-6/h5-7H,2-4H2,1H3
C6H11O14-5OOH InChI=1S/C6H12O3/c1-5(9-7)6-3-2-4-8-6/h5-7H,2-4H2,1H3
C6H11O12-6OOH InChI=1S/C6H12O3/c7-9-4-2-1-3-6-5-8-6/h6-7H,1-5H2
C6H11O24-3OOH InChI=1S/C6H12O3/c1-3-5-6(9-7)4(2)8-5/h4-7H,3H2,1-2H3
C6H11O34-2OOH InChI=1S/C6H12O3/c1-3-5-6(8-5)4(2)9-7/h4-7H,3H2,1-2H3
C6H11Q23-5 InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h3,5-8H,4H2,1-2H3
C6H11O25-3OOH InChI=1S/C6H12O3/c1-4-3-6(9-7)5(2)8-4/h4-7H,3H2,1-2H3
C6H11O24-5OOH InChI=1S/C6H12O3/c1-4-3-6(8-4)5(2)9-7/h4-7H,3H2,1-2H3
C6H11Q23-6 InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,1,3-4H2,2H3
C6H11O23-4OOH InChI=1S/C6H12O3/c1-3-5(9-7)6-4(2)8-6/h4-7H,3H2,1-2H3
C6H11O23-5OOH InChI=1S/C6H12O3/c1-4(9-7)3-6-5(2)8-6/h4-7H,3H2,1-2H3
C6H11Q24-6 InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,1,3-4H2,2H3
C6H11Q34-1 InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h5-8H,1,3-4H2,2H3
C5H9O12-5 InChI=1S/C5H9O/c1-2-3-5-4-6-5/h5H,1-4H2
C5H9O13-5 InChI=1S/C5H9O/c1-2-5-3-4-6-5/h5H,1-4H2
C5H9O14-5 InChI=1S/C5H9O/c1-5-3-2-4-6-5/h5H,1-4H2
C5H9O23-5 InChI=1S/C5H9O/c1-3-5-4(2)6-5/h4-5H,1,3H2,2H3
C5H9O24-1 InChI=1S/C5H9O/c1-4-3-5(2)6-4/h4-5H,1,3H2,2H3
C5H9O23-1 InChI=1S/C5H9O/c1-3-5-4(2)6-5/h4-5H,2-3H2,1H3
C6H12O1-2 InChI=1S/C6H12O/c1-2-3-4-6-5-7-6/h6H,2-5H2,1H3
C6H12O1-3 InChI=1S/C6H12O/c1-2-3-6-4-5-7-6/h6H,2-5H2,1H3
C6H12O1-4 InChI=1S/C6H12O/c1-2-6-4-3-5-7-6/h6H,2-5H2,1H3
C6H12O1-5 InChI=1S/C6H12O/c1-6-4-2-3-5-7-6/h6H,2-5H2,1H3
C6H12O2-3 InChI=1S/C6H12O/c1-3-4-6-5(2)7-6/h5-6H,3-4H2,1-2H3
C6H12O2-4 InChI=1S/C6H12O/c1-3-6-4-5(2)7-6/h5-6H,3-4H2,1-2H3
C6H12O2-5 InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3
C6H12O3-4 InChI=1S/C6H12O/c1-3-5-6(4-2)7-5/h5-6H,3-4H2,1-2H3
C6H13O2-1 InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h2-6H2,1H3
C6H13O-1 InChI=1S/C6H13O/c1-2-3-4-5-6-7/h2-6H2,1H3
C6H13O2-2 InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6H,3-5H2,1-2H3
C6H13O-2 InChI=1S/C6H13O/c1-3-4-5-6(2)7/h6H,3-5H2,1-2H3
C6H13O2-3 InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6H,3-5H2,1-2H3
C6H13O-3 InChI=1S/C6H13O/c1-3-5-6(7)4-2/h6H,3-5H2,1-2H3
C6H12OOH1-2O2 InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6-7H,2-5H2,1H3
C6H12OOH1-2O InChI=1S/C6H13O3/c1-2-3-4-6(7)5-9-8/h6,8H,2-5H2,1H3
C6H12OOH1-3O2 InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6-7H,2-5H2,1H3
C6H12OOH1-3O InChI=1S/C6H13O3/c1-2-3-6(7)4-5-9-8/h6,8H,2-5H2,1H3
C6H12OOH1-4O2 InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6-7H,2-5H2,1H3
C6H12OOH1-4O InChI=1S/C6H13O3/c1-2-6(7)4-3-5-9-8/h6,8H,2-5H2,1H3
C6H12OOH1-5O2 InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6-7H,2-5H2,1H3
C6H12OOH1-5O InChI=1S/C6H13O3/c1-6(7)4-2-3-5-9-8/h6,8H,2-5H2,1H3
C6H12OOH2-1O2 InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6,8H,2-5H2,1H3
